Area	Canonical Feature ID	Decision	Priority	Implementation Repo	Requirement	Research Linkage	Dependencies	Agent Notes
Educational Video Library / YouTube	F-025	Redesign as education-scoped video discovery	P1	syllabai-core + syllabai-web	Provide distraction-free subject-scoped educational video discovery using approved/validated sources; map videos to SpecificationPoints and serve them through SyllabAI's learning-first recommender.	Paper B §3.13: videos tagged to KG nodes using the same metadata pipeline as questions.	F-166; F-167; F-087; F-092	Do not expose generic YouTube home/recommendation feeds as the SyllabAI learning policy. YouTube is a source, not the optimization objective.
Video Watch Telemetry	F-026	Redesign as learning evidence/telemetry	P1	syllabai-core + syllabai-web	Record impression/start/progress/completion/repeat/exit and downstream learning linkage where useful; never award mastery directly for watch time.	Paper B §3.13; learning-first recommendation design	F-025; F-055; F-033	Watch time is a signal, not a learning outcome. Evaluate against subsequent assessment evidence.
Rule-based Recommendation MVP	F-087	Promote as canonical baseline	P0	syllabai-core	Generate candidates from enrolled subject, SpecificationPoints, prerequisite state, weak evidence, unresolved problems, due reviews, exam goals and validated resources.	Paper A/B diagnosis and remediation	F-033; F-055; F-092; F-098	Optimize for learning progress, not engagement. Candidate reasons must be inspectable.
Content-based Filtering	F-088	Keep as candidate expansion	P1	syllabai-core	Use resource metadata, SpecificationPoints, concepts, difficulty, media type and pgvector similarity to expand candidates around a diagnosed need.	Learning-first recommendation architecture	F-025; F-167; F-087; F-092	Semantic similarity is not the final objective and must remain subject/curriculum constrained.
Collaborative Filtering	F-089	Future experiment	P2	syllabai-core	Use collaborative signals only after sufficient interaction data and offline/downstream learning evaluation; retain fallback to rules/content.	Research/telemetry evaluation	F-087; F-088; F-090; F-055	Do not let popularity override prerequisite, safety, subject or teacher constraints.
Hybrid / Cascade	F-090	Canonical long-term architecture	P1	syllabai-core	Use hard constraints → rule candidates → content-based expansion → optional learned ranking → constrained exploration → next-best-action.	Learning-first recommendation architecture	F-087; F-088; F-089; F-091; F-092; F-055	Cascade is progressive data-regime maturity, not blind replacement of rules with ML.
Constrained Exploration	F-091	Redesign exact epsilon-greedy proposal	P1	syllabai-core	Explore uncovered SpecificationPoints, high uncertainty, exam pacing gaps, teacher priorities and transfer opportunities within hard constraints.	Exploration/exploitation research design	F-092; F-098; F-055	Reject hard-coded 10% random topic rule. Epsilon-greedy/UCB remain optional experiments.
Personalized Next Steps	F-092	Promote as primary learner-facing orchestration	P0.5	syllabai-core	Select the next best learning action from learner state, diagnosis, prerequisite graph, evidence, review state and goals; actions may be notes, video, questions, Target Test, Tutor, review or assignment.	Paper A/B diagnosis/remediation; KG research design	F-033; F-054; F-055; F-056; F-091; F-098; F-166	Recommendations are actions, not just resources. Distinguish measured facts from recommendations.
Recommendation Explanations	F-093	Promote in importance	P1	syllabai-web	Show structured evidence-backed reason codes and provenance for each recommendation.	Evidence-first learner model	F-092; F-055; F-056	Never allow LLMs to invent learner statistics or causal explanations.
Syllabus Completion / Goal Pacing	— (folded into F-092 as a contextual ranking signal; no separate canonical feature row)	Keep as contextual ranking signal	P1	syllabai-core	Use curriculum coverage, mastery, prerequisites, review needs, exam date and available study time when provided to avoid narrow recommendation loops.	Subject Architecture; learning-first recommendation design	F-166; F-033; F-054	Completion means appropriate evidence, not mere exposure or video viewing.
Recommendation Evaluation	F-154	Extend research telemetry evaluation	P0	syllabai-research	Record recommendation policy/version, exposure, action, downstream learning outcome and observation window for registered experiments.	Paper B research instrumentation	F-055; F-087; F-092	CTR/watch time alone cannot establish educational benefit.
