Area	Canonical Feature ID	Decision	Priority	Implementation Repo	Requirement	Research Linkage	Dependencies	Agent Notes
Question Attempt Evidence / Learning Log	F-055	Promote to foundational evidence subsystem	P0	syllabai-core	Immutable question/question-part attempt evidence across past papers, Target Tests, Test Builder, mocks, Smart Lessons and teacher assignments; preserve marks, timing, confidence, answer, source/session provenance and marking metadata.	Paper B §3.5 and §3.13	F-153; F-168; assessment evidence; subject/curriculum context	This is the canonical bridge from learner-question interaction to AssessmentEvidence, learner model, diagnosis, recommendations, KG overlays, teacher analytics and research telemetry.
Problem / Doubt Tracking	F-056	Core learner review state	P0	syllabai-core + syllabai-web	Problematic flag, doubt type, self-doubt, review priority and timestamps are mutable review state around immutable attempts.	Paper B §3.5; Type 4 metacognitive telemetry in §3.13	F-055	Flags are evidence, not deterministic mastery penalties. Reject the old -0.02/+0.01 rule.
Resolved / Unresolved	F-057	Review lifecycle	P1	syllabai-core + syllabai-web	Resolution clears urgent review state but does not prove mastery; preserve history and permit later review re-entry.	Paper B §3.5	F-054; F-055; F-056	Resolution is a learner-review action, not an assessment result.
Already Attempted	F-058	Core UX	P0.5	syllabai-web + syllabai-core	Show prior attempts across all sources using canonical question identity; show last/best/count and surface skipped parts.	Paper B §3.5 rationale	F-055	A completed-paper state must never fabricate question-level attempts.
Review Hub	F-059	Core student experience	P0.5	syllabai-web + syllabai-core	Subject-scoped unresolved problems, attempt history, measured weak areas and due reviews with deep links to Tutor, Target Test and resources.	Paper B §3.5 and §3.13	F-054; F-055; F-056; F-057; F-033	Do not duplicate learner-model logic in the UI; separate measured facts from recommendations.
Spaced Review	F-054	Redesign	P1	syllabai-core	Use fixed 1/3/7/14/30-day intervals only as MVP fallback; long-term scheduling considers evidence, mastery, confidence, difficulty and retrieval history.	Paper B forgetting/review design	F-055; F-056; F-057; F-066	Scheduler is replaceable and must not mutate immutable attempts.
Mark Scheme Shortcut	F-029	Cross-surface integration	P0	syllabai-web + syllabai-core	Expose provenance-preserving mark scheme/model answer from every question surface.	Paper B §3.4/§3.5	Question/mark-scheme model	Keep assessment context while showing the mark scheme inline or in a collapsible panel.
Smart Mark Auto-log	F-047	Cross-surface integration	P0	syllabai-core	Smart Mark emits attempt/evidence automatically; retain AI execution metadata and separate human overrides.	Paper B §3.4 and §3.5	F-055; F-153	AI marks are evidence for calibration, not automatically equivalent to human truth.
Test Builder / Target Test Auto-log	F-050	Cross-surface integration	P0	syllabai-core + syllabai-web	Submission logs each canonical question attempt; source test is provenance, not a new question identity.	Paper B §3.5	F-055	Reuse canonical Question/QuestionPart IDs across generated tests.
KG Feed	F-033	Core learner-model integration	P0	syllabai-core	Map attempts through QuestionPart → SpecificationPoint(s) into learner-model inference and KG overlay.	Paper B §3.3, §3.5 and §3.13	F-055; F-168	Flags/confidence may influence inference but must not directly mutate official curriculum nodes.
Recommendation Signals	F-091	Core integration	P1	syllabai-core	Use repeated low marks, unresolved problems, self-doubt, prerequisite weakness and review due-ness as recommendation signals.	Paper B §3.13	F-055; F-056; F-054	Recommendations remain distinct from measured learner facts; require real attempt evidence for attempt-derived signals.
Teacher Evidence Analytics	F-078	Teacher lens	P1	syllabai-core + syllabai-web	Aggregate flags, doubt types, unresolved counts and weak SpecificationPoints for authorized classes with time windows and evidence lineage.	Paper B §3.13; Type 6 instructional-environment gap	F-055; F-056; teacher KG	Do not create a parallel teacher tracking model.
Research Telemetry	F-154	Research layer	P0	syllabai-research	Preserve richer research fields such as timing and self-assessment; version and govern research-only telemetry separately from product-critical evidence.	Paper B §3.5	F-055; research registry	Future IRT/keystroke fields require explicit research/privacy justification.
