class_no,class,query_id,query,gold_spec_points,gold_concepts,gold_misconceptions,evidence_tiers,evidence_refs,provenance,substrate,notes,VERDICT (CORRECT/INCORRECT),corrected_labels,owner_notes
1,factual,g1-003,What are the key facts I should know about use knowledge of trends in Group 7 to predict the propertie…?,4CH1-2.6,,,none,,rule=R2 · source=spec_point:4CH1-2.6,chunks+kg,auto-derived v1,,,
1,factual,g1-014,What are the key facts I should know about calculate percentage yield?,4CH1-1.30,,,t1×5,face72f4a8…:3 295c56c31b…:15 042dcbb07a…:9 e5556d9d8c…:14 79bd80919c…:6,rule=R2 · source=spec_point:4CH1-1.30,chunks+kg,auto-derived v1,,,
1,factual,g1-015,What are the key facts I should know about understand the interconversions between the three states of…?,4CH1-1.2,,,t1×5,512af760e5…:3 cbff9c92ef…:2 cca430dc43…:2 95123d07fa…:3 e02c65ad9f…:1,rule=R2 · source=spec_point:4CH1-1.2,chunks+kg,auto-derived v1,,,
2,conceptual,g1-019,"Explain explain the effects of changes in surface area of a solid, ….",4CH1-3.11,,,t1×5,ce65d4fd54…:6 1e3c60eb51…:9 5a0d064fb5…:10 ae36e95e78…:9 46b20b9dbf…:15,rule=R2 · source=spec_point:4CH1-3.11,chunks+kg,auto-derived v1,,,
2,conceptual,g1-027,Explain calculate reacting masses using experimental data and chemi….,4CH1-1.29,,,t1×1,92c6ccb0c0…:11,rule=R2 · source=spec_point:4CH1-1.29,chunks+kg,auto-derived v1,,,
2,conceptual,g1-029,Explain know that ionic compounds do not conduct electricity when s….,4CH1-1.43,,,t1×5,111f670fea…:6 05952b3ad6…:22 034516a426…:12 df8fd0f8c2…:3 96bdc4705e…:3,rule=R2 · source=spec_point:4CH1-1.43,chunks+kg,auto-derived v1,,,
3,calculation,g1-036,"When nitrogen dioxide gas $ \mathrm{(N O_{2})} $ is placed in a sealed flask, it reacts to form dinitrogen tetraoxide gas $ \mathrm{(N_{2}O_{4})}. $ The equation for the reaction i…",,,,"t2×1, t1×3",f06f808464…:9 20d8089be2…:7 790877f765…:2 e50985bda8…:4,anchor_code_non_spec=4CH1-S3-c · rule=R1+R3 · source=qversion[4CH0/2C],chunks,"auto-derived v1; selector=numeric-stem fill (quota amendment, command_word unpopulated)",,,
3,calculation,g1-039,A student investigates the solubility of potassium nitrate in water. She measures the masses of potassium nitrate that dissolve in $ 2 5 \mathrm{c m}^{3} $ of water at different te…,,,,"t2×1, t1×3",669b7691ec…:4 7649654514…:2 9a2262007b…:0 66a8d87f23…:3,anchor_code_non_spec=ING-4CH12CSUMMER2021 · rule=R1+R3 · source=qversion[4CH1/2C],chunks,"auto-derived v1; selector=numeric-stem fill (quota amendment, command_word unpopulated)",,,
4,prerequisite,g1-041,Do I need to master Saturated solution before I can understand Solubility?,4CH1-1.10 | 4CH1-1.4 | 4CH1-1.5C,4CH1-CON-SATURATED-SOLUTION | 4CH1-CON-SOLUBILITY,,t1×5,d72903ee82…:1 914d583101…:4 babfe26bcb…:2 6a9a10e439…:3 29f3959669…:3,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-SOLUBILITY->4CH1-CON-SATURATED-SOLUTION,kg,auto-derived v1,,,
4,prerequisite,g1-042,Do I need to master Ionic bonding before I can understand Electrolysis?,4CH1-1.41 | 4CH1-1.58C,4CH1-CON-ELECTROLYSIS | 4CH1-CON-IONIC-BOND,,t1×5,bd1bc88542…:5 05952b3ad6…:22 268af62afb…:8 9bb3e3d6ff…:9 be35905e00…:6,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-ELECTROLYSIS->4CH1-CON-IONIC-BOND,kg,auto-derived v1,,,
4,prerequisite,g1-043,"Do I need to master Exothermic and endothermic reactions before I can understand Bond-breaking endothermic, bond-making exothermic?",4CH1-3.1 | 4CH1-3.6C,4CH1-CON-BOND-BREAKING-MAKING | 4CH1-CON-EXO-ENDO,,t1×5,c4e2178d93…:8 c928be1d9d…:9 295c56c31b…:13 36f8d68e0f…:2 2f11ca6ab8…:11,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-BOND-BREAKING-MAKING->4CH1-CON-EXO-ENDO,kg,auto-derived v1,,,
4,prerequisite,g1-044,Do I need to master Factors affecting the rate of reaction before I can understand 4CH1-PR-10?,4CH1-3.10,4CH1-CON-RATE-FACTORS,,t1×5,e5556d9d8c…:13 c8b8f0758b…:13 05952b3ad6…:20 f67d0dfb4a…:3 2f11ca6ab8…:13,endpoint_non_concept=['4CH1-PR-10'] · rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-PR-10->4CH1-CON-RATE-FACTORS,kg,auto-derived v1,,,
4,prerequisite,g1-045,Do I need to master Pure substance and fixed melting/boiling points before I can understand Interpreting chromatograms?,4CH1-1.11 | 4CH1-1.9,4CH1-CON-CHROMATOGRAM-INTERPRETATION | 4CH1-CON-PURE-SUBSTANCE,,t1×5,0f3d75d3b6…:8 e8017889e5…:6 90f25c1401…:3 512af760e5…:3 295c56c31b…:4,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-CHROMATOGRAM-INTERPRETATION->4CH1-CON-PURE-SUBSTANCE,kg,auto-derived v1,,,
4,prerequisite,g1-046,Do I need to master Empirical formula before I can understand Molecular formula?,4CH1-1.32 | 4CH1-1.33,4CH1-CON-EMPIRICAL-FORMULA | 4CH1-CON-MOLECULAR-FORMULA,,t1×5,0ec62ea717…:10 96bdc4705e…:6 2c192320c2…:4 5f9b96f76a…:6 fa60642a0e…:8,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-MOLECULAR-FORMULA->4CH1-CON-EMPIRICAL-FORMULA,kg,auto-derived v1,,,
4,prerequisite,g1-047,Do I need to master Concentration of a solution before I can understand Factors affecting the rate of reaction?,4CH1-1.34C | 4CH1-3.10,4CH1-CON-CONCENTRATION | 4CH1-CON-RATE-FACTORS,,t1×5,e5556d9d8c…:13 c8b8f0758b…:13 05952b3ad6…:20 2f11ca6ab8…:5 f67d0dfb4a…:3,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-RATE-FACTORS->4CH1-CON-CONCENTRATION,kg,auto-derived v1,,,
