Feature ID	Epic	Feature Name	Category	Architecture Layer	Type	Problem	Solution	Implementation Notes	Requirements	Original Priority	Final Priority	Build Wave	Cycle	Complexity	Implementation Repo	Research Linkage	Validation Metric	Dependencies	Critical Path	Status	Owner	Frontend Impl.	Source URL	Agent Notes
F-001	Core Platform & Infrastructure	Cloud Hosting (Vercel + Render + Neon)	Infrastructure	Platform	Infrastructure	Need free, no-credit-card hosting for the pilot; scalability is a Cycle-2+ concern.	Next.js on Vercel Hobby; Spring Boot Docker service on Render free tier; Neon Postgres. No AWS/GCP/K8s in Cycle 1-2.	render.yaml + GitHub Actions deploy; keep-alive ping to fit 744h < 750h free instance hours; accept cold starts (see F-156).	Render/Vercel/Neon free accounts.	P0	P0.5	Wave 0 - Foundations	Cycle 2+	Medium	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		PATCHED v2: was AWS/GCP/Azure + Terraform/K8s - contradicted free-tier constraint and ADR-006. | Repo remapped v2 (4-repo plan, ADR-012).
F-002	Core Platform & Infrastructure	Containerization (Docker)	Infrastructure	Platform	Infrastructure	Consistent development and deployment environments.	Package backend services and frontend as Docker containers.	Dockerfiles for each service; docker-compose for local dev.	Docker knowledge.	P0	P0	Wave 0 - Foundations	Cycle 2+	Low	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-003	Core Platform & Infrastructure	CI/CD Pipeline	Infrastructure	Platform	Infrastructure	Automate testing and deployment; reduce human error.	GitHub Actions/GitLab CI: run tests, build images, deploy.	YAML pipelines; integration with cloud registry (ECR/GAR).	Source control (Git).	P0	P0.5	Wave 0 - Foundations	Cycle 2+	Medium	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-004	Core Platform & Infrastructure	Database Backup & Recovery	Infrastructure	Platform	Infrastructure	Prevent data loss; comply with data protection regulations.	Automated daily backups; point-in-time recovery; off-site replication.	Managed DB service (RDS, Cloud SQL) backups; cron jobs for file backups.	Database service with backup feature.	P0	P0.5	Wave 0 - Foundations	Cycle 2+	Low	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-005	Core Platform & Infrastructure	Monitoring & Logging (Prometheus/Grafana/ELK)	Infrastructure	Platform	Infrastructure	Detect issues, performance bottlenecks, errors.	Collect metrics and logs; set alerts (CPU, memory, error rates).	Prometheus + Grafana for metrics; Loki or ELK for logs.	Additional cloud costs.	P1	P1	Wave 0 - Foundations	Cycle 2+	Medium	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-006	Core Platform & Infrastructure	Rate Limiting & DDoS Protection	Infrastructure	Platform	Infrastructure	Prevent abuse of APIs (e.g., AI endpoints).	Implement rate limiting per user/IP; use WAF (Cloudflare/AWS WAF).	Middleware in API gateway (e.g., Redis-based rate limiter).	API gateway or reverse proxy.	P1	P1	Wave 0 - Foundations	Cycle 2+	Low	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-007	Core Platform & Infrastructure	Caching Layer (Redis/Memcached)	Infrastructure	Platform	Infrastructure	Reduce DB load, speed up frequent queries (e.g., syllabus graph).	Cache proficiency scores, resource lists, user sessions.	Redis cluster; cache invalidation on updates.	Redis knowledge.	P1	P1	Wave 0 - Foundations	Cycle 2+	Low	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-008	Core Platform & Infrastructure	Background Job Processing (Spring)	Infrastructure	Platform	Infrastructure	Handle async tasks: document parsing, embedding backfills, exports, nightly recalibration and decay.	Spring @Scheduled for recurring jobs + DB-backed durable job queue (Flyway-migrated tables) for async work.	Job categories per Master Spec section 31 (DOCUMENT_PROCESS, EMBED_CONTENT, RECALIBRATE_BKT, APPLY_FORGETTING_DECAY...). Redis only if operationally justified (ADR); not a default dependency.	Spring Boot; Postgres.	P1	P1	Wave 0 - Foundations	Cycle 2+	Medium	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		PATCHED v2: was Celery+Redis (Python stack) - contradicted Java ADR-001. | Repo remapped v2 (4-repo plan, ADR-012).
F-009	Core Platform & Infrastructure	Error Tracking (Sentry/Bugsnag)	Infrastructure	Platform	Infrastructure	Catch and debug production errors quickly.	Integrate error monitoring SDK into backend and frontend.	Sentry SDK; configure source maps for frontend.	Sentry account (free tier available).	P1	P1	Wave 0 - Foundations	Cycle 2+	Low	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-010	Core Platform & Infrastructure	Feature Flags	Infrastructure	Platform	Infrastructure	Gradually roll out features; A/B testing.	Use flag service (LaunchDarkly, Flagsmith, or custom DB).	Middleware to check flags; UI conditionals.	Small database table.	P2	P2	Wave 5 - Advanced Intelligence	Cycle 2+	Low	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-011	Core Platform & Infrastructure	API Versioning	Infrastructure	Platform	Infrastructure	Support multiple client versions without breaking changes.	Prefix APIs: /api/v1/..., /api/v2/....	URL versioning or header-based.	N/A	P2	P2	Wave 5 - Advanced Intelligence	Cycle 2+	Low	syllabai-core		integration tests + uptime/error metrics		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-012	User Management & Authentication (RBAC)	User Registration & Login	Auth	Platform/Security	Backend + Integration	Students, teachers need accounts.	Email/password; optional social login (Google, Microsoft).	JWT-based authentication; OAuth2 providers.	Auth library (Auth0, Firebase, or custom Django/Flask).	P0	P0	Wave 0 - Foundations	Cycle 1	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		
F-013	User Management & Authentication (RBAC)	Role-Based Access Control (RBAC)	Auth	Platform/Security	Backend + Integration	Different permissions for student, teacher, admin, school admin.	Assign roles; middleware checks permissions.	Database: users table with role enum; permission matrix in code.	Clear role definitions.	P0	P0	Wave 0 - Foundations	Cycle 1	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Partial (UI based on role)		
F-014	User Management & Authentication (RBAC)	Email Verification	Auth	Platform/Security	Backend + Integration	Prevent fake accounts, ensure email ownership.	Send verification link on signup; require click before access.	Async email task; token expiration.	Email service (SendGrid, SES).	P0	P0	Wave 0 - Foundations	Cycle 2+	Low	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		
